Customer Name,Customer Number,Job,Address,Postal Code,Latitude,Longitude
ADN 4X4,522210,0,001-120 RUE DES TEXTILES COWANSVILLE,J2K 1V9,45.2059093,-72.7636213
SENGTEC ENR,953819,0,1 4E AV VAL-D'OR,J9P 1E9,48.1005508,-77.7694252
RONNIE'S AUTO BODY SHOP,936346,0,1 ALLEE CAISSIE BOUCTOUCHE,E4S 0B1,46.4588755,-64.7524544
PETRO-CANADA,973816,0,1 BOUL DE SAINT-MAJORIQUE GASPE,G4X 6S7,48.8908554,-64.5590298
CENTRE GESTION EQUIPEMENT BOUC,555793,0,1 BOULEVARD DE MORTAGNE BOUCHERVILLE,J4B 5K5,45.5701117,-73.4498182
GARAGE J R DESCHENES,955292,0,1 DE L'ECLUSE SAINT-NARCISSE,G0K 1S0,46.563369,-72.473253
RL AUTO,956630,0,1 HARTLAND BRIDGE HILL RD SOMERVILLE,E7P 2S6,46.2961701,-67.5324269
GUAY'S GARAGE LTD FORD,924051,0,1 HWY 11 VAL GAGNE,P0K 1W0,48.6030846,-80.6383286
FOUNTAIN TIRE,993350,0,1 INDUSTRIAL CRT MARATHON,P0T 2E0,48.7333198,-86.3553872
B & M AUTO REPAIR,920030,0,1 MACNEIL AV CHARLOTTETOWN,C1E 3A7,46.2806629,-63.1521515
OK TIRE,915181,0,1 PRINCE ARTHUR STREET AMHERST,B4H 1V3,45.8306661,-64.2120437
CROWES AUTO BODY,989330,0,1 RIDGE ST SAINT JOHN,E2J 2N1,45.290493,-66.0303646
SAINT-URBAIN GARAGE ET CASERNE,992626,0,1 RUE DU MOULIN ST-URBAIN-CHARL,G0A 4K0,47.5595171,-70.5372862
CHEZ MON CHUM,972100,0,1 RUE DU PONT PARENT,G0X 3P0,47.9233505,-74.6291655
CARSTAR AMHERST,943311,0,1 TANTRAMAR COURT AMHERST,B4H 4H8,45.8126881,-64.2130842
CAMPBELLTON IMPORTS AUTO,991609,0,1 UNION ST CAMPBELLTON,E3N 1B8,48.0083841,-66.6703535
